------------------------------------------------------------
        Haribhau Automation Systems
        File Checksum Report
------------------------------------------------------------

Directory        : C:\Users\asus\Downloads\LB
Log created at   : Fri Feb  6 15:14:50 2026
Total Files      : 371

------------------------------------------------------------
Filename                       MD5 Checksum                        Size (bytes)
------------------------------------------------------------
program625.java 71c4f2d6746f885af699824573f95921 604
program626.java 04891ea51f47d9e275d02d19b22ee798 588
program627.java 8977cbb8c52c84c075497e21d4dd81f6 606
program628.java 16f0f8ce0cc56ba26c6fed7fe0aef922 569
program629.java 26b45c7fe15f7a7d4dd0044cf4375f2d 567
program63.c 8daef07b7dfbbb4fcde251fc0c732196 1015
program630.java b44e0156f9c744e57a5d2d46f8adbe27 607
program631.java 3135bf146be5d4593f583883ce2cecca 245
program632.java 14b9daad919979994b3dbcc7a2d81435 245
program633.java d5b969e0d055ff07757bd95f43baaeec 720
program634.java 6357380d272f9b870216a8617d10d8a0 364
program64.c 7d6fe995a3c7ce27dc770327ec0f6ad1 1429
program65.c ad2fd42318b2064983f568a66294c675 533
program66.c 0d576b04c9098fe56b90d929c8238231 588
program67.c bbdc74989711ac1c8ad83f076a412c42 659
program68.c 4a8a9c0b68072fec93b6df9bdf293635 441
program69.c 92de77e204e41364cfe349a4bd2eeacb 401
program7.c acebf1d9a74f1c9b26171c755d44fe83 446
program70.c 8e199ca0ff31da0a93aa651ab25545c3 423
program71.c 35005526b0e2095c9be20b319b98c271 465
program72.java 44ac01071ad721fa7b1bf823e7778d15 272
program73.java 6a2b841174f1b98101ef8f6360c9f63e 426
program74.java 79d67977d2eed345ed9219380709fbd2 502
program75.java ac7815c6e5df28f09db737a893934783 560
program76.java 9b04cd12dddd5e760977c36cdb88ccb5 530
program77.java a85bbdb6a702ad69067eef07ffd3c27a 600
program78.java df8fd6946579fdd0f97174b587ab7ef4 689
program79.java 4ecac6a22dc457f7eb567cfe65c6a3f3 932
program8.c b265ca3979d57bc8bf2f61cc8084cb29 850
program80.java cfbf1c73c78532c95141739858c116e8 1065
program81.java dadf2ca8b4b81c85abf2243887879c85 1138
program82.java f02ea65b76ea54c5193d8d1f36727d97 1052
program83.java 5274cd9718a0b3b75057756a19e52408 1143
program84.java 7db2c99db1a5bba10be56009da185539 1100
program85.java f1c68d09564ab52b617ba81dd43e4530 1145
program86.java 9d54e19d4b6050b9fb65ddc08ceeade0 777
program87.java 873ddc54c172ded408d645cd2fa59eee 842
program88.java 037fe7460eacb7d3c13ba2ccc965ba99 886
program89.java aac7484265cd72982c3a75c5130b02ba 930
program9.c e2c7b1d125728c3030578269ed50f783 1044
program90.java e47e071aed1dd0716297bef6ef979b1e 656
